Cut Name,alldata,Muon,Electron,2016data,2017data,2018data,DYJetsToLL_M-10to50,DYJetsToLL_M-50,EWKWMinus2Jets_WToLNu_M-50,EWKWPlus2Jets_WToLNu_M-50,EWKWminus2Jets_WToQQ_dipoleRecoilOn,EWKWplus2Jets_WToQQ_dipoleRecoilOn,EWKZ2Jets_ZToLL_M-502016,EWKZ2Jets_ZToNuNu_M-50,EWKZ2Jets_ZToQQ_dipoleRecoilOn,ST_t-channel_antitop_4f_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays,ST_tW_antitop_5f_inclusiveDecays,ST_tW_top_5f_inclusiveDecays,SSWW,TTTo2L2Nu,TTToHadronic,TTToSemiLeptonic,TTWJetsToLNu,TTWW,TTWZ,TTZToLLNuNu_M-10,TTbb_4f_TTTo2L2Nu,TTbb_4f_TTToSemiLeptonic,VBFWH_HToBB_WToLNu_M-125_dipoleRecoilOn,VHToNonbb_M125,WJetsToLNu_HT-100To200,WJetsToLNu_HT-1200To2500,WJetsToLNu_HT-200To400,WJetsToLNu_HT-2500ToInf,WJetsToLNu_HT-400To600,WJetsToLNu_HT-600To800,WJetsToLNu_HT-70To100,WJetsToLNu_HT-800To1200,WWJJToLNuLNu_EWK_noTop,WWTo1L1Nu2Q_4f,WWTo2L2Nu,WWTolnulnu,WWW_4F,WWZ_4F,WZ,WZJJ_EWK_InclusivePolarization,WZTo1L1Nu2Q_4f,WZTo1L3Nu_4f,WZTo2Q2L_mllmin4p0,WZTo3LNu,WZZ,WminusH_HToBB_WToLNu_M-125,WplusH_HToBB_WToLNu_M-125,ZH_HToBB_ZToLL_M-125,ZZJJTo4L,ZZTo2L2Nu,ZZTo2Q2L_mllmin4p0,ZZTo4L_M-1toInf,ZZZ,ggZH_HToBB_ZToLL_M-125,ttHToNonbb_M125,ttHTobb_M125,Others,TTX,WJetsToLNu,TTbar,Allbkg,SIG,
begin,13000+-110,7700+-88,5300+-73,3330+-58,4180+-65,5500+-74,26.9+-19,366+-32,39.4+-3.8,75.9+-5.9,0.0942+-0.07,0.492+-0.16,0+-0,0+-0,0.255+-0.11,0+-0,0+-0,0+-0,0+-0,0+-0,456+-4.2,7.03+-0.7,6070+-17,47.5+-0.5,7.64+-0.074,1.05+-0.022,9.37+-0.18,0.507+-0.017,22.9+-0.33,0.508+-0.011,4.65+-1.7,1.16+-1.2,2760+-5.4,0.701+-0.5,114+-0.29,24.9+-3,296+-5.1,0+-0,2560+-10,0+-0,0+-0,8.01+-0.77,2.07+-0.35,16.4+-0.14,14.7+-0.45,0+-0,0.425+-0.013,0+-0,0+-0,0+-0,3.92+-0.41,2.59+-0.028,0.233+-0.011,0.59+-0.023,0.0502+-0.0037,0.123+-0.0036,0.0376+-0.0047,0+-0,0.00378+-0.0022,0.0572+-0.0022,0.0199+-0.0007,22.3+-0.21,6.94+-0.073,564+-38,118+-0.67,5760+-13,6530+-17,13000+-44,15.4+-0.11,
Hmass,7630+-87,4540+-67,3090+-56,1930+-44,2510+-50,3190+-56,0+-0,201+-14,22.5+-4.7,42+-6.5,0.0326+-0.18,0.275+-0.52,0+-0,0+-0,0.193+-0.44,0+-0,0+-0,0+-0,0+-0,0+-0,310+-18,3.41+-1.8,3480+-59,26.3+-5.1,4.39+-2.1,0.603+-0.78,5.32+-2.3,0.346+-0.59,13.1+-3.6,0.479+-0.69,3.05+-1.7,1.16+-1.1,1470+-38,0.701+-0.84,52.4+-7.2,17.9+-4.2,190+-14,0+-0,1530+-39,0+-0,0+-0,4.47+-2.1,1.22+-1.1,13.4+-3.7,12.3+-3.5,0+-0,0.269+-0.52,0+-0,0+-0,0+-0,2.09+-1.4,2.14+-1.5,0.197+-0.44,0.495+-0.7,0.0381+-0.2,0.0745+-0.27,0.021+-0.14,0+-0,0.00142+-0.038,0.0491+-0.22,0.0184+-0.14,12.5+-3.5,4.83+-2.2,307+-18,67.4+-8.2,3260+-57,3790+-62,7420+-86,14.7+-3.8,
Wmass,5840+-76,3490+-59,2360+-49,1470+-38,1960+-44,2410+-49,0+-0,153+-21,18.3+-2.6,34.5+-4,0+-0,0.275+-0.11,0+-0,0+-0,0.193+-0.087,0+-0,0+-0,0+-0,0+-0,0+-0,221+-2.9,1.76+-0.35,2480+-11,16.9+-0.29,3.01+-0.047,0.41+-0.014,3.37+-0.11,0.247+-0.012,8.74+-0.2,0.378+-0.0099,2.87+-1.4,0+-0,1020+-3.3,0.701+-0.5,31.1+-0.15,15+-2.3,161+-3.7,0+-0,1210+-7.1,0+-0,0+-0,3.44+-0.5,0.744+-0.23,11.2+-0.11,10.4+-0.39,0+-0,0.212+-0.0093,0+-0,0+-0,0+-0,1.87+-0.29,1.76+-0.023,0.153+-0.0089,0.388+-0.019,0.0242+-0.0026,0.0573+-0.0025,0.0179+-0.0032,0+-0,0.00142+-0.0014,0.0412+-0.0019,0.0142+-0.00059,8.17+-0.13,2.79+-0.046,240+-22,43.6+-0.4,2440+-9,2700+-11,5420+-26,14.3+-0.11,
Hbb09,5840+-76,3490+-59,2360+-49,1470+-38,1960+-44,2410+-49,0+-0,153+-21,18.3+-2.6,34.5+-4,0+-0,0.275+-0.11,0+-0,0+-0,0.193+-0.087,0+-0,0+-0,0+-0,0+-0,0+-0,221+-2.9,1.76+-0.35,2480+-11,16.9+-0.29,3.01+-0.047,0.41+-0.014,3.37+-0.11,0.247+-0.012,8.74+-0.2,0.378+-0.0099,2.87+-1.4,0+-0,1020+-3.3,0.701+-0.5,31.1+-0.15,15+-2.3,161+-3.7,0+-0,1210+-7.1,0+-0,0+-0,3.44+-0.5,0.744+-0.23,11.2+-0.11,10.4+-0.39,0+-0,0.212+-0.0093,0+-0,0+-0,0+-0,1.87+-0.29,1.76+-0.023,0.153+-0.0089,0.388+-0.019,0.0242+-0.0026,0.0573+-0.0025,0.0179+-0.0032,0+-0,0.00142+-0.0014,0.0412+-0.0019,0.0142+-0.00059,8.17+-0.13,2.79+-0.046,240+-22,43.6+-0.4,2440+-9,2700+-11,5420+-26,14.3+-0.11,
Wjet055,5840+-76,3490+-59,2360+-49,1470+-38,1960+-44,2410+-49,0+-0,153+-21,18.3+-2.6,34.5+-4,0+-0,0.275+-0.11,0+-0,0+-0,0.193+-0.087,0+-0,0+-0,0+-0,0+-0,0+-0,221+-2.9,1.76+-0.35,2480+-11,16.9+-0.29,3.01+-0.047,0.41+-0.014,3.37+-0.11,0.247+-0.012,8.74+-0.2,0.378+-0.0099,2.87+-1.4,0+-0,1020+-3.3,0.701+-0.5,31.1+-0.15,15+-2.3,161+-3.7,0+-0,1210+-7.1,0+-0,0+-0,3.44+-0.5,0.744+-0.23,11.2+-0.11,10.4+-0.39,0+-0,0.212+-0.0093,0+-0,0+-0,0+-0,1.87+-0.29,1.76+-0.023,0.153+-0.0089,0.388+-0.019,0.0242+-0.0026,0.0573+-0.0025,0.0179+-0.0032,0+-0,0.00142+-0.0014,0.0412+-0.0019,0.0142+-0.00059,8.17+-0.13,2.79+-0.046,240+-22,43.6+-0.4,2440+-9,2700+-11,5420+-26,14.3+-0.11,
Mlb230,3400+-58,2050+-45,1350+-37,876+-30,1130+-34,1390+-37,0+-0,107+-18,15.7+-2.4,30.1+-3.7,0+-0,0.275+-0.11,0+-0,0+-0,0.193+-0.087,0+-0,0+-0,0+-0,0+-0,0+-0,106+-2,0.753+-0.23,1050+-7.1,10.9+-0.23,1.57+-0.034,0.209+-0.01,1.74+-0.076,0.102+-0.0077,3.08+-0.12,0.331+-0.0093,2.17+-1.2,0+-0,809+-2.9,0.356+-0.36,25+-0.14,12.5+-2.1,134+-3.4,0+-0,965+-6.3,0+-0,0+-0,2.62+-0.44,0.644+-0.23,8.73+-0.1,7.75+-0.31,0+-0,0.155+-0.008,0+-0,0+-0,0+-0,1.13+-0.24,1.35+-0.02,0.12+-0.0079,0.31+-0.017,0.0155+-0.0021,0.0351+-0.0019,0.0127+-0.0027,0+-0,0.00142+-0.0014,0.0286+-0.0016,0.00933+-0.00048,3.37+-0.083,0.983+-0.027,178+-18,21.9+-0.29,1950+-8.1,1160+-7.4,3300+-21,12.8+-0.1,
STH3000,4+-2,3+-1.7,1+-1,1+-1,0+-0,3+-1.7,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0.2+-0.082,0+-0,0.352+-0.13,0.0192+-0.0085,0.00232+-0.0014,0+-0,0.00157+-0.0016,0+-0,0+-0,0.00164+-0.00059,0.217+-0.22,0+-0,1.63+-0.13,0+-0,3.6+-0.052,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0.0205+-0.0059,0.0432+-0.0074,0.0209+-0.0049,0+-0,0.00117+-0.00072,0+-0,0+-0,0+-0,0.0396+-0.04,0.00683+-0.0015,0.000401+-0.0004,0.00188+-0.0013,0+-0,0+-0,0.000582+-0.00058,0+-0,0+-0,0.000164+-0.00012,0+-0,0+-0,0+-0,0.354+-0.22,0.0231+-0.0087,5.23+-0.14,0.553+-0.16,6.16+-0.31,1.27+-0.032,
STL3000,3400+-58,2050+-45,1350+-37,875+-30,1130+-34,1390+-37,0+-0,107+-18,15.7+-2.4,30.1+-3.7,0+-0,0.275+-0.11,0+-0,0+-0,0.193+-0.087,0+-0,0+-0,0+-0,0+-0,0+-0,106+-2,0.753+-0.23,1050+-7.1,10.9+-0.23,1.56+-0.034,0.209+-0.01,1.74+-0.076,0.102+-0.0077,3.08+-0.12,0.329+-0.0093,1.95+-1.2,0+-0,807+-2.9,0.356+-0.36,21.4+-0.13,12.5+-2.1,134+-3.4,0+-0,965+-6.3,0+-0,0+-0,2.62+-0.44,0.624+-0.23,8.69+-0.1,7.73+-0.31,0+-0,0.154+-0.0079,0+-0,0+-0,0+-0,1.09+-0.24,1.34+-0.02,0.119+-0.0079,0.308+-0.017,0.0155+-0.0021,0.0351+-0.0019,0.0121+-0.0027,0+-0,0.00142+-0.0014,0.0284+-0.0016,0.00933+-0.00048,3.37+-0.083,0.983+-0.027,178+-18,21.9+-0.29,1940+-8.1,1160+-7.4,3300+-21,11.5+-0.098,
ST3000Score09V07,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,
ST3000Score095V07,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,0+-0,
