Cut Name,alldata,Muon,Electron,2016data,2017data,2018data,DYJetsToLL_M-10to50,DYJetsToLL_M-50,EWKWMinus2Jets_WToLNu_M-50,EWKWPlus2Jets_WToLNu_M-50,EWKWminus2Jets_WToQQ_dipoleRecoilOn,EWKWplus2Jets_WToQQ_dipoleRecoilOn,EWKZ2Jets_ZToLL_M-502016,EWKZ2Jets_ZToNuNu_M-50,EWKZ2Jets_ZToQQ_dipoleRecoilOn,ST_t-channel_antitop_4f_InclusiveDecays,ST_t-channel_top_4f_InclusiveDecays,ST_tW_antitop_5f_inclusiveDecays,ST_tW_top_5f_inclusiveDecays,SSWW,TTTo2L2Nu,TTToHadronic,TTToSemiLeptonic,TTWJetsToLNu,TTWW,TTWZ,TTZToLLNuNu_M-10,TTbb_4f_TTTo2L2Nu,TTbb_4f_TTToSemiLeptonic,VBFWH_HToBB_WToLNu_M-125_dipoleRecoilOn,VHToNonbb_M125,WJetsToLNu_HT-100To200,WJetsToLNu_HT-1200To2500,WJetsToLNu_HT-200To400,WJetsToLNu_HT-2500ToInf,WJetsToLNu_HT-400To600,WJetsToLNu_HT-600To800,WJetsToLNu_HT-70To100,WJetsToLNu_HT-800To1200,WWJJToLNuLNu_EWK_noTop,WWTo1L1Nu2Q_4f,WWTo2L2Nu,WWTolnulnu,WWW_4F,WWZ_4F,WZ,WZJJ_EWK_InclusivePolarization,WZTo1L1Nu2Q_4f,WZTo1L3Nu_4f,WZTo2Q2L_mllmin4p0,WZTo3LNu,WZZ,WminusH_HToBB_WToLNu_M-125,WplusH_HToBB_WToLNu_M-125,ZH_HToBB_ZToLL_M-125,ZZJJTo4L,ZZTo2L2Nu,ZZTo2Q2L_mllmin4p0,ZZTo4L_M-1toInf,ZZZ,ggZH_HToBB_ZToLL_M-125,ttHToNonbb_M125,ttHTobb_M125,Others,TTX,WJetsToLNu,TTbar,Allbkg,SIG,
Num HST_Wjetmass140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Num HST_VBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err begin,114.05,87.772,72.822,57.68,64.668,74.149,19.037,32.313,3.7727,5.8746,0.069704,0.16071,0,0,0.10685,0,0,0,0,0,4.1595,0.69719,16.97,0.50216,0.074067,0.022308,0.17541,0.017278,0.32782,0.011438,1.6973,1.1644,5.4158,0.49568,0.2911,3.0269,5.0757,0,10.305,0,0,0.77397,0.35427,0.13834,0.44793,0,0.013175,0,0,0,0.41071,0.028141,0.010977,0.023016,0.0037313,0.0036133,0.004679,0,0.002198,0.002211,0.00070087,0.21414,0.072651,38.219,0.66919,13.12,17.487,44.019,0.11261,
Err Hmass,87.344,67.35,55.615,43.92,50.12,56.462,0,14.16,4.7471,6.4827,0.18043,0.5243,0,0,0.43888,0,0,0,0,0,17.596,1.8458,58.978,5.1296,2.0945,0.77632,2.3063,0.5881,3.6161,0.69199,1.7452,1.0791,38.343,0.8372,7.2397,4.2339,13.78,0,39.054,0,0,2.1136,1.1024,3.6635,3.5054,0,0.51891,0,0,0,1.4449,1.4641,0.44391,0.70373,0.19528,0.27303,0.14498,0,0.037639,0.22162,0.13559,3.5376,2.1987,17.523,8.2093,57.075,61.574,86.152,3.8282,
Err Wmass,76.446,59.034,48.57,38.367,44.249,49.132,0,21.173,2.5559,3.9685,0,0.11438,0,0,0.086778,0,0,0,0,0,2.8962,0.34787,10.851,0.29275,0.046517,0.013953,0.10535,0.011955,0.20396,0.0098723,1.353,0,3.2863,0.49568,0.15216,2.3438,3.7453,0,7.0693,0,0,0.50266,0.23285,0.11478,0.38788,0,0.0093443,0,0,0,0.29136,0.023328,0.0088663,0.018688,0.0025655,0.0024569,0.0032313,0,0.0014167,0.0019075,0.00059323,0.12846,0.046088,21.749,0.39941,8.9757,11.237,26.077,0.10841,
Err Hbb09,76.446,59.034,48.57,38.367,44.249,49.132,0,21.173,2.5559,3.9685,0,0.11438,0,0,0.086778,0,0,0,0,0,2.8962,0.34787,10.851,0.29275,0.046517,0.013953,0.10535,0.011955,0.20396,0.0098723,1.353,0,3.2863,0.49568,0.15216,2.3438,3.7453,0,7.0693,0,0,0.50266,0.23285,0.11478,0.38788,0,0.0093443,0,0,0,0.29136,0.023328,0.0088663,0.018688,0.0025655,0.0024569,0.0032313,0,0.0014167,0.0019075,0.00059323,0.12846,0.046088,21.749,0.39941,8.9757,11.237,26.077,0.10841,
Err Wjet055,76.446,59.034,48.57,38.367,44.249,49.132,0,21.173,2.5559,3.9685,0,0.11438,0,0,0.086778,0,0,0,0,0,2.8962,0.34787,10.851,0.29275,0.046517,0.013953,0.10535,0.011955,0.20396,0.0098723,1.353,0,3.2863,0.49568,0.15216,2.3438,3.7453,0,7.0693,0,0,0.50266,0.23285,0.11478,0.38788,0,0.0093443,0,0,0,0.29136,0.023328,0.0088663,0.018688,0.0025655,0.0024569,0.0032313,0,0.0014167,0.0019075,0.00059323,0.12846,0.046088,21.749,0.39941,8.9757,11.237,26.077,0.10841,
Err Mlb230,58.309,45.31,36.701,29.597,33.66,37.296,0,17.866,2.3801,3.7097,0,0.11438,0,0,0.086778,0,0,0,0,0,2.011,0.22774,7.076,0.23374,0.03361,0.0099554,0.075583,0.0076961,0.12105,0.009269,1.2167,0,2.9323,0.35629,0.13648,2.1419,3.4151,0,6.3186,0,0,0.4374,0.22701,0.10159,0.31113,0,0.0079769,0,0,0,0.24403,0.020457,0.0078989,0.016808,0.0020554,0.0019252,0.0027236,0,0.0014167,0.001561,0.00048293,0.082526,0.027465,18.454,0.28957,8.0572,7.3598,21.441,0.10281,
Err STH3000,2,1.732,1,1,0,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082045,0,0.13401,0.0084551,0.001352,0,0.0015737,0,0,0.00058533,0.21743,0,0.13119,0,0.052011,0,0,0,0,0,0,0,0.0058829,0.0073603,0.0049067,0,0.0007202,0,0,0,0.039581,0.0014751,0.00040097,0.0013433,0,0,0.00058241,0,0,0.00011756,0,0,0,0.22127,0.008706,0.14112,0.15713,0.30601,0.031917,
Err STL3000,58.275,45.277,36.688,29.58,33.66,37.256,0,17.866,2.3801,3.7097,0,0.11438,0,0,0.086778,0,0,0,0,0,2.0094,0.22774,7.0748,0.23359,0.033583,0.0099554,0.075566,0.0076961,0.12105,0.0092505,1.1972,0,2.9293,0.35629,0.12619,2.1419,3.4151,0,6.3186,0,0,0.4374,0.22694,0.10133,0.31109,0,0.0079444,0,0,0,0.24079,0.020404,0.0078887,0.016754,0.0020554,0.0019252,0.0026606,0,0.0014167,0.0015566,0.00048293,0.082526,0.027465,18.452,0.28944,8.056,7.3581,21.438,0.097735,
Err ST3000Score09V07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err ST3000Score095V07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err HST_Hbbmass100vs160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err HST_Wjetmass140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err HST_VBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
